transaction_id,user_id,merchant_id,transaction_time,amount_inr,payment_method,status,risk_score
TXN100000,350,16,2026-01-29 11:13:00,2999,Wallet,captured,85
TXN100005,196,3,2026-01-06 22:06:00,99,UPI,captured,60
TXN100036,321,16,2026-01-25 16:31:00,49,UPI,captured,35
TXN100044,309,15,2026-01-24 23:34:00,99,Netbanking,captured,62
TXN100056,132,24,2026-01-07 14:44:00,299,Wallet,captured,21
TXN100074,244,32,2026-01-18 07:44:00,149,UPI,captured,57
TXN100092,157,37,2026-01-28 18:27:00,499,Wallet,captured,79
TXN100130,211,3,2026-01-13 07:54:00,149,UPI,chargeback,40
TXN100134,74,27,2026-01-17 14:00:00,799,UPI,captured,83
TXN100188,32,31,2026-01-15 20:01:00,299,UPI,captured,51
TXN100212,167,37,2026-01-06 11:19:00,99,UPI,captured,76
TXN100250,130,39,2026-01-22 12:18:00,2999,Wallet,captured,19
TXN100259,317,9,2026-01-22 10:56:00,499,Wallet,captured,76
TXN100288,171,9,2026-01-19 23:48:00,299,UPI,captured,5
TXN100313,252,13,2026-01-10 22:58:00,99,Wallet,captured,15
TXN100324,177,9,2026-01-15 21:33:00,99,UPI,captured,99
TXN100330,329,11,2026-01-18 02:32:00,499,UPI,captured,75
TXN100351,186,36,2026-01-19 17:12:00,4999,UPI,captured,36
TXN100360,251,37,2026-01-17 16:34:00,49,UPI,captured,38
TXN100379,227,17,2026-01-03 11:59:00,299,Wallet,captured,95
TXN100390,149,3,2026-01-16 05:59:00,4999,Wallet,captured,1
TXN100395,173,19,2026-01-06 00:47:00,499,UPI,failed,72
TXN100471,283,31,2026-01-13 12:24:00,299,Netbanking,captured,7
TXN100475,291,31,2026-01-29 22:56:00,49,Netbanking,failed,34
TXN100488,325,10,2026-01-05 12:45:00,49,Netbanking,chargeback,94
TXN200001,352,40,2026-01-11 12:00:00,4999,Card,chargeback,95
TXN300030,345,16,2026-01-23 09:02:00,399,Card,failed,67
